symbol,color1,color2,color3
MMM,[161. 182. 176.],[250. 251. 253.],[228. 229. 236.]
ABT,[  0. 149. 218.],[ 52. 154. 220.],[251. 253. 254.]
ABBV,[11. 15. 60.],[254. 254. 254.],[152. 154. 166.]
ABMD,[  1. 212. 108.],[  0. 129. 210.],[115.  61. 194.]
ACN,[255. 255. 255.],[154. 154. 154.],[0. 0. 0.]
ATVI,[165. 195. 238.],[239. 248. 253.],[145. 169. 193.]
ADBE,[239. 154.  27.],[ 52. 139. 175.],[247. 249. 243.]
AMD,[245.   9.   9.],[196.   3.   3.],[255.  36.  36.]
AAP,[255. 207.   8.],[92. 10. 15.],[254. 253. 253.]
AES,[127. 203.  40.],[  3.  83. 128.],[ 70. 109.  18.]
AFL,[ 13. 168. 227.],[244. 249. 252.],[248. 156.  58.]
A,[ 33. 136. 175.],[106. 114. 114.],[249. 251. 251.]
APD,[  0. 154.  73.],[  0. 154.  73.],[  0. 154.  73.]
AKAM,[  0. 153. 204.],[ 44. 153. 199.],[255. 153.  51.]
ALK,[  0. 151. 200.],[  4.  67. 111.],[173. 193. 153.]
ALB,[28. 43. 38.],[250. 251. 251.],[153. 158. 157.]
ARE,[ 81.  88. 106.],[178. 182. 189.],[253. 253. 253.]
ALXN,[  9.  23. 148.],[254. 254. 254.],[158. 162. 204.]
ALGN,[197. 212. 233.],[223. 233. 246.],[255. 255. 255.]
ALLE,[ 78. 164. 117.],[241. 243. 243.],[2. 1. 2.]
LNT,[246. 226.  18.],[251. 250. 248.],[ 87. 128. 150.]
ALL,[ 12. 120. 185.],[176. 207. 230.],[252. 253. 254.]
GOOGL,[239.  23.  21.],[252. 220. 218.],[255. 255. 255.]
GOOG,[ 25.  79. 151.],[246. 249. 249.],[133. 154. 192.]
MO,[225. 128. 111.],[245. 248. 248.],[ 59. 134. 155.]
AMZN,[143. 141. 140.],[34. 33. 32.],[254. 254. 254.]
AMCR,[ 47. 169. 222.],[17. 53. 77.],[179.  87. 123.]
AEE,[230.  31.  32.],[248. 248. 248.],[28. 76. 23.]
AAL,[188. 195. 203.],[255. 255. 255.],[216. 222. 228.]
AEP,[  3. 140. 218.],[245.  82.  45.],[203. 232. 138.]
AXP,[ 37. 145. 207.],[131. 204. 241.],[255. 255. 255.]
AIG,[ 23. 116. 178.],[144. 185. 215.],[253. 254. 254.]
AMT,[210.  17.  64.],[254. 253. 254.],[ 0.  0. -0.]
AWK,[ 67. 136. 233.],[254. 113. 104.],[255. 255. 255.]
AMP,[43. 63. 79.],[235. 245. 249.],[133. 150. 164.]
ABC,[  0.  80. 157.],[35. 31. 32.],[38. 22.  0.]
AME,[112. 114. 124.],[250. 250. 252.],[221. 221. 221.]
AMGN,[ 28.  96. 167.],[255. 255. 255.],[212. 220. 234.]
APH,[ -0.  93. 163.],[ 24. 163. 145.],[254. 254. 254.]
ADI,[  2. 110. 183.],[176. 198. 225.],[255. 255. 255.]
ANSS,[ 13. 236. 232.],[243. 243. 243.],[3. 5. 5.]
ANTM,[  0. 119. 198.],[210. 224. 241.],[255. 255. 255.]
AON,[225.  25.  33.],[254. 252. 252.],[231. 101. 103.]
AOS,[ 26. 121.  62.],[249. 250. 249.],[1. 1. 1.]
APA,[202. 157.  55.],[255. 255. 254.],[221. 193. 142.]
AAPL,[162. 171. 173.],[228. 230. 231.],[255. 255. 255.]
AMAT,[ 86. 156. 190.],[ 86. 156. 190.],[ 86. 156. 190.]
APTV,[222.  83.  54.],[251. 251. 251.],[3. 3. 3.]
ADM,[  0. 170.  75.],[  0.  56. 154.],[  0.  73. 147.]
ANET,[126. 136. 160.],[244. 245. 247.],[ 0.  2. 10.]
AJG,[143. 147. 134.],[ 9. 12. 20.],[230. 234. 234.]
AIZ,[249. 166.  26.],[ 62. 117. 152.],[  0. 176.  51.]
T,[  0. 168. 224.],[251. 253. 254.],[ 52. 172. 225.]
ATO,[ 94. 131. 212.],[253. 254. 255.],[173. 190. 231.]
ADSK,[182. 185. 175.],[56. 54. 54.],[253. 253. 253.]
ADP,[238.  36.  32.],[245. 153. 153.],[255. 253. 253.]
AZO,[243. 129.  36.],[214.  43.  38.],[255. 255. 255.]
AVB,[ 20.  47. 105.],[ 31.  54. 108.],[ 96. 111. 149.]
AVY,[216.   0.  36.],[255. 255. 255.],[245. 210. 212.]
BKR,[ 60. 141. 120.],[ 31. 104.  91.],[ 1. 48. 38.]
BLL,[  6. 155. 185.],[241. 251. 249.],[127. 196. 209.]
BAC,[230.  16.  47.],[  3. 102. 179.],[254. 248. 249.]
BK,[176. 126.  37.],[79. 76. 77.],[165. 157. 135.]
BAX,[ 37.  40. 105.],[215. 215. 224.],[253. 254. 254.]
BDX,[240. 121.  35.],[ 24.  72. 144.],[248. 249. 251.]
BRKB,[131. 102. 122.],[255. 254. 255.],[196. 185. 192.]
BBY,[244. 233.  24.],[ 0. -0.  0.],[ 10.  74. 191.]
BIO,[206. 201. 189.],[231. 226. 215.],[251. 247. 238.]
BIIB,[ 43. 117. 184.],[247. 252. 250.],[174. 203. 204.]
BLK,[2. 2. 2.],[117. 117. 117.],[248. 248. 248.]
BA,[  0.  44. 128.],[111. 112. 155.],[254. 254. 254.]
BKNG,[  5. 141. 208.],[245. 248. 250.],[ 1. 21. 55.]
BWA,[ 32.  64. 128.],[ 32.  64. 128.],[ 32.  64. 128.]
BXP,[242. 242. 242.],[245. 245. 245.],[255. 255. 255.]
BSX,[  7.  69. 126.],[  7.  69. 126.],[  7.  69. 126.]
BMY,[191. 172. 190.],[252. 252. 252.],[93. 91. 90.]
AVGO,[101. 101. 101.],[1. 1. 1.],[245. 245. 245.]
BR,[  1.  73. 135.],[250. 251. 252.],[129. 156. 185.]
BFB,[152.  97.  21.],[173. 132.  88.],[254. 254. 254.]
CHRW,[245. 123.  32.],[  0. 120. 174.],[ 0. -0.  0.]
COG,[  9.  51. 136.],[255. 255. 255.],[183. 191. 212.]
CDNS,[21. 24. 22.],[74. 74. 74.],[59. 61. 58.]
CZR,[146. 146. 149.],[253. 253. 254.],[28. 28. 30.]
CPB,[190.  25.  35.],[203. 154.  38.],[253. 251. 248.]
COF,[226.  42.   0.],[ -0.  72. 121.],[210.  46.  30.]
CAH,[241.  79.  64.],[254. 253. 253.],[ 0. -0.  0.]
KMX,[255. 226.   0.],[255. 213.  32.],[  0.  82. 159.]
CCL,[242.   3.  25.],[  9.  53. 122.],[249. 248. 249.]
CARR,[241. 155.  59.],[152. 212. 204.],[ 49. 102. 163.]
CTLT,[ 16. 108. 171.],[239. 239. 241.],[101. 101. 101.]
CAT,[255. 197.   1.],[249. 246. 241.],[-0. -0.  0.]
CBOE,[ 6. 27. 70.],[128. 140. 169.],[250. 252. 252.]
CBRE,[  0. 106.  77.],[  0. 106.  77.],[  0. 106.  77.]
CDW,[204.   0.   0.],[249. 216. 220.],[254. 255. 254.]
CE,[58. 98. 52.],[31. 68. 33.],[220. 218. 196.]
CNC,[  2.  64. 105.],[152. 149. 140.],[  0.  49. 100.]
CNP,[  0. 152. 214.],[35. 31. 32.],[38.  0.  0.]
CERN,[246. 254. 226.],[254. 254. 252.],[230. 254. 255.]
CF,[  1. 119. 192.],[142. 199.  66.],[251. 253. 253.]
CRL,[128. 165. 179.],[171. 194. 203.],[198. 213. 219.]
SCHW,[  0. 160. 223.],[  0. 160. 223.],[  0. 160. 223.]
CHTR,[  1.  98. 156.],[120. 121. 121.],[248. 250. 250.]
CVX,[195.  15.  32.],[ 24. 143. 203.],[  0.  84. 164.]
CMG,[168.  24.  20.],[249. 248. 248.],[69. 19.  0.]
CB,[240.  78.  38.],[226. 188. 191.],[ 38.  40. 133.]
CHD,[200.  27.  71.],[ 97. 113. 145.],[251. 248. 248.]
CI,[250. 152.   0.],[249. 251. 249.],[ 42. 158. 133.]
CINF,[  1. 153. 202.],[87. 91. 92.],[240. 248. 247.]
CTAS,[  2.  27. 103.],[252. 252. 253.],[109. 114. 152.]
CSCO,[132. 235. 241.],[ 90. 198. 112.],[107.  79.  13.]
C,[219.  34.  11.],[254. 248. 248.],[  3.  59. 115.]
CFG,[  0. 150.  94.],[  0. 150.  94.],[  0. 150.  94.]
CTXS,[ 44. 153. 220.],[159.  91. 246.],[192. 209.  72.]
CLX,[  0. 130. 200.],[ 65. 150.  57.],[ 70. 152.  21.]
CME,[ 83. 171. 209.],[28. 41. 76.],[231. 234. 236.]
CMS,[ -0. 148. 210.],[123. 189.  69.],[132. 194.  38.]
KO,[246. 238. 242.],[254. 254. 254.],[239. 239. 239.]
CTSH,[110. 176.  75.],[0. 0. 1.],[130. 205. 228.]
CL,[  5. 123. 194.],[0. 0. 0.],[255. 255. 255.]
CMCSA,[234. 109.  24.],[ 50. 114. 191.],[ -0. 179.  68.]
CMA,[  2.  43. 106.],[145. 153. 177.],[248. 248. 250.]
CAG,[227.  64.  48.],[22. 21. 22.],[ 60. 151. 123.]
COP,[242.  60.  60.],[255. 255. 255.],[251. 215. 215.]
ED,[ -0. 154. 216.],[254. 255. 255.],[110. 181. 226.]
STZ,[  3. 119. 191.],[248. 248. 250.],[ 2. 28. 91.]
COO,[ 24.  70. 139.],[255. 255. 255.],[211. 216. 228.]
CPRT,[193. 208. 222.],[173. 173. 173.],[253. 254. 254.]
GLW,[  0.  94. 209.],[164. 184. 232.],[115. 151. 223.]
CTVA,[ 93. 106.  34.],[137. 134.  89.],[175. 161. 138.]
COST,[227.  21.  52.],[255. 254. 254.],[241. 160. 169.]
CCI,[ 86. 100. 110.],[146. 154. 160.],[255. 255. 255.]
CSX,[ 16.  79. 140.],[117. 143. 178.],[165. 179. 202.]
CMI,[1. 1. 1.],[146. 146. 146.],[252. 252. 252.]
CVS,[197. 158. 154.],[232. 225. 226.],[219. 195. 185.]
DHI,[24. 36. 69.],[235. 243. 250.],[132. 141. 161.]
DHR,[ 15.  91. 155.],[254. 254. 254.],[138. 174. 202.]
DRI,[139.  24.  27.],[35. 31. 32.],[ 1. 32. 32.]
DVA,[248. 170.  18.],[  0.  31. 120.],[  9.  56. 112.]
DE,[214. 222. 219.],[238. 240. 240.],[252. 253. 253.]
DAL,[192.  24.  49.],[ 74.  99. 134.],[249. 249. 250.]
XRAY,[76. 78. 80.],[255. 255. 255.],[156. 157. 157.]
DVN,[184. 184. 184.],[255. 255. 255.],[76. 76. 76.]
DXCM,[107. 178.  58.],[191. 219. 175.],[254. 254. 253.]
FANG,[238. 236. 234.],[255. 255. 255.],[248. 248. 248.]
DLR,[ 89. 122. 161.],[21. 21. 21.],[249. 250. 250.]
DFS,[249. 160.  33.],[0. 0. 0.],[229.  92.  32.]
DISCA,[ 22. 117. 196.],[34. 30. 31.],[248. 250. 253.]
DISCK,[244. 185. 107.],[111. 119. 159.],[248. 248. 242.]
DISH,[227.  25.  50.],[254. 254. 254.],[0. 0. 0.]
DG,[255. 240.  -0.],[27. 26. 26.],[217. 217. 215.]
DLTR,[ 45. 156.  49.],[26. 24. 25.],[248. 251. 248.]
D,[ 45. 109. 186.],[8. 7. 7.],[253. 254. 254.]
DPZ,[210.  19.  45.],[  1. 120. 172.],[254. 253. 253.]
DOV,[216. 216. 216.],[190. 190. 190.],[254. 254. 254.]
DOW,[242.  60.  60.],[255. 255. 255.],[251. 215. 215.]
DTE,[ 29.  53. 117.],[253. 253. 254.],[124. 136. 172.]
DUK,[ 20. 188. 217.],[  2.  91. 134.],[ 80. 187.  64.]
DRE,[31. 27. 28.],[93. 91. 91.],[252. 252. 252.]
DD,[195. 137. 106.],[ 79. 111.  93.],[248. 245. 225.]
DXC,[130. 130. 130.],[247. 247. 247.],[9. 9. 9.]
EMN,[237.  27.  48.],[253. 221. 226.],[255. 255. 255.]
ETN,[  2. 102. 204.],[175. 196. 230.],[254. 254. 254.]
EBAY,[ 11. 103. 211.],[217. 122.  31.],[253. 254. 252.]
ECL,[  0. 153. 204.],[208. 242. 248.],[255. 255. 255.]
EIX,[146. 197. 130.],[254. 254. 254.],[218. 197. 156.]
EW,[177. 170. 164.],[30. 26. 20.],[225. 224. 222.]
EA,[186. 186. 186.],[255. 255. 255.],[1. 1. 1.]
EMR,[ 20.  81. 144.],[161. 163. 165.],[229. 230. 230.]
ENPH,[225. 231. 229.],[229. 229. 230.],[228. 228. 228.]
ETR,[252. 115.  54.],[ 47. 179. 189.],[227. 236. 232.]
EOG,[238.  50.  37.],[ 0.  0. -0.],[248. 248. 248.]
EFX,[244. 255. 252.],[248. 249. 245.],[254. 254. 254.]
EQIX,[50. 57. 72.],[237. 237. 239.],[254. 254. 254.]
EQR,[210. 174.  79.],[246. 242. 236.],[255. 255. 254.]
ESS,[11. 11. 11.],[154. 154. 154.],[254. 254. 254.]
EL,[2. 2. 2.],[119. 119. 119.],[248. 248. 248.]
ETSY,[213. 101.  29.],[248. 170. 142.],[245. 245. 240.]
EVRG,[  3. 140. 218.],[245.  82.  45.],[203. 232. 138.]
ES,[  0. 172. 237.],[ 0. -0. -0.],[  0. 148.  67.]
RE,[ 90. 124. 161.],[255. 255. 255.],[ 93.  78. 121.]
EXC,[247. 121.  23.],[ 85. 172.  60.],[ 14. 117. 191.]
EXPE,[  2.   2. 153.],[100. 100. 182.],[250. 250. 253.]
EXPD,[237.  63.  55.],[5. 7. 9.],[251. 246. 246.]
EXR,[ 47. 138. 195.],[114.  55.  50.],[244. 235. 205.]
XOM,[238.  23.  41.],[243. 162. 165.],[254. 248. 249.]
FFIV,[178.   8.  56.],[  1. 102. 158.],[194. 174.  47.]
FB,[ 59.  89. 152.],[242. 243. 247.],[139. 157. 195.]
FAST,[  7.  99. 159.],[244. 243. 243.],[154. 190. 214.]
FRT,[179. 167. 137.],[249. 250. 247.],[ 92.  99. 104.]
FDX,[234.  15.  20.],[251. 249. 249.],[ 85.  61. 141.]
FIS,[153. 201.  83.],[237. 246. 224.],[196. 222. 158.]
FITB,[ 22.  67. 153.],[ 78. 143.  60.],[ 80. 146.  54.]
FE,[ 27.  93. 172.],[35. 31. 32.],[248. 250. 252.]
FRC,[212. 210. 167.],[216. 218. 182.],[226. 226. 196.]
FISV,[254. 102.   3.],[254. 254. 254.],[ 85. 102. 119.]
FLT,[252. 115.  54.],[ 47. 179. 189.],[227. 236. 232.]
FMC,[232.  53.  36.],[240. 134. 127.],[255. 252. 251.]
F,[ 58. 136. 197.],[235. 236. 236.],[15. 40. 88.]
FTNT,[221. 219. 220.],[230. 230. 230.],[211. 209. 210.]
FTV,[123. 172. 118.],[251. 252. 251.],[5. 5. 5.]
FBHS,[229. 166.  83.],[250. 244. 246.],[30. 27. 53.]
FOXA,[163.  66.  25.],[ 76. 146. 160.],[223. 172. 143.]
FOX,[163.  66.  25.],[223. 172. 143.],[ 76. 146. 160.]
BEN,[222. 161.  84.],[19. 21. 50.],[250. 244. 246.]
FCX,[  1. 174. 239.],[ 0. -0.  0.],[241. 246. 248.]
GPS,[-0. 40. 94.],[ 82.  94. 129.],[243. 244. 246.]
GRMN,[  0. 124. 195.],[  0. 124. 195.],[  0. 124. 195.]
IT,[  3. 100. 152.],[169. 191. 210.],[253. 254. 254.]
GNRC,[201. 121.  70.],[ 91. 132. 156.],[245. 245. 240.]
GD,[ 19.  44. 142.],[113. 169. 214.],[252. 253. 254.]
GE,[ 49. 153. 216.],[252. 252. 253.],[116.  24.  56.]
GIS,[226.  31.  38.],[  8.  86. 163.],[254. 248. 249.]
GM,[ 19.  44. 142.],[252. 253. 254.],[113. 169. 214.]
GPC,[253. 184.  38.],[  3.  85. 164.],[254. 254. 254.]
GILD,[200.  -0.  55.],[ 83. 109. 110.],[100. 101. 105.]
GL,[  2.  78. 133.],[119. 155. 167.],[247. 249. 250.]
GPN,[ 14.  72. 129.],[242. 245. 248.],[113. 145. 177.]
GS,[115. 153. 198.],[255. 255. 255.],[237. 241. 247.]
GWW,[190.  33.  34.],[254. 255. 255.],[249. 222. 222.]
HAL,[237.  23.  31.],[255. 255. 255.],[250. 211. 212.]
HBI,[237.  34.  36.],[102.  30.  93.],[94. 30. 95.]
HIG,[128.  36.  40.],[251. 253. 254.],[180. 143. 146.]
HAS,[  6. 136. 192.],[ 35.  80. 149.],[247. 249. 252.]
HCA,[ 19. 123. 172.],[14. 71. 84.],[250. 251. 251.]
PEAK,[202.  14.  18.],[228. 121. 115.],[246. 240. 236.]
HSIC,[137. 148. 208.],[181. 197. 227.],[223. 225. 228.]
HSY,[64. -0.  9.],[123. 111. 113.],[168. 169. 172.]
HES,[  2. 138.  94.],[249. 252. 251.],[153. 199. 180.]
HPE,[  0. 179. 136.],[66. 85. 99.],[71. 69. 94.]
HLT,[ 2. 42. 77.],[254. 254. 254.],[139. 147. 159.]
HFC,[  0.  51. 111.],[58. 66. 74.],[101. 108. 115.]
HOLX,[134. 193. 191.],[251. 253. 250.],[215. 214. 209.]
HD,[239. 100.  37.],[242. 185. 148.],[247. 250. 244.]
HON,[195. 200. 204.],[216. 220. 221.],[255. 255. 255.]
HRL,[210.  34.  41.],[  3. 145.  77.],[253. 248. 249.]
HST,[241. 237. 230.],[248. 248. 245.],[244. 245. 236.]
