Symbol,amount to be registered
MMM,579675002
ABT,1776820148
ABBV,1766222336
ABMD,45295979
ACN,665635732
ATVI,777016759
ADBE,478000000
AMD,1215020976
AAP,65438870
AES,666257334
AFL,679667234
A,304697515
APD,221314258
AKAM,162991685
ALK,124481793
ALB,116721826
ARE,147503288
ALXN,221675313
ALGN,79136575
ALLE,89978097
LNT,250134552
ALL,299338684
GOOGL,670163793
GOOG,670163793
MO,1850637974
AMZN,504323736
AMCR,1541792948
AEE,255552619
AAL,641383123
AEP,499750400
AXP,803302859
AIG,858140647
AMT,453796083
AWK,181469196
AMP,115904879
ABC,205410717
AME,230919176
AMGN,574553986
APH,597615720
ADI,368826918
ANSS,87151573
ANTM,244840654
AON,225630496
AOS,160456241
APA,377972835
AAPL,16687631000
AMAT,917660832
APTV,270462749
ADM,558702110
ANET,76321815
AJG,204886980
AIZ,60566633
T,7140000000
ATO,130671944
ADSK,220013315
ADP,425518320
AZO,22036780
AVB,139604637
AVY,83007729
BKR,1041590528
BLL,328254521
BAC,8569317603
BK,875480847
BAX,502851993
BDX,290818504
BRKB,1526793
BBY,250472993
BIO,29763614
BIIB,150554750
BLK,152526401
BA,584810068
BKNG,41052813
BWA,239847758
BXP,156074252
BSX,1420910855
BMY,2231000000
AVGO,408302326
BR,116125688
BFB,478652000
CHRW,132988670
COG,399419748
CDNS,278265000
CZR,208698623
CPB,303051488
COF,456800844
CAH,290147927
KMX,163151136
CCL,1130540516
CARR,868998500
CTLT,170341553
CAT,547787152
CBOE,106685785
CBRE,335657390
CDW,140523893
CE,112632584
CNC,582734777
CNP,580495853
CERN,301317068
CF,214514904
CRL,50252814
SCHW,1965640029
CHTR,188666161
CVX,1928059179
CMG,28150479
CB,449690575
CHD,245245902
CI,344300000
CINF,161096632
CTAS,105053197
CSCO,4225514401
C,2086686521
CFG,425930159
CTXS,124167045
CLX,124372035
CME,359097180
CMS,289459560
KO,4311680667
CTSH,1055411884
CL,845968780
CMCSA,4594016301
CMA,139612779
CAG,479946865
COP,1349418454
ED,342813258
STZ,192220478
COO,49247946
CPRT,236578498
GLW,851356832
CTVA,737101000
COST,442069091
CCI,432189646
CSX,757400000
CMI,146202578
CVS,1316567871
DHI,360483527
DHR,713278866
DRI,130842674
DVA,106200000
DE,313438923
DAL,639646873
XRAY,218318121
DVN,676900000
DXCM,96705873
FANG,180997368
