Symbol,Name,Sector,Industry,Headquarters_Location,lat,lng,color1
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",44.953702899999996,-93.0899578,a1b6b0
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",42.325578,-87.8411818,0095da
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",42.325578,-87.8411818,0b0f3c
ABMD,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts",42.5750009,-70.93212199999999,01d46c
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",53.34980529999999,-6.2603097000000005,9a9a9a
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",34.01945429999999,-118.4911912,a5c3ee
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",37.338208200000004,-121.88632859999998,ef9a1b
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",37.354107899999995,-121.9552356,f50909
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",35.7795897,-78.6381787,ffcf08
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",38.879969700000004,-77.1067698,7fcb28
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",32.4609764,-84.9877094,0da8e3
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",37.354107899999995,-121.9552356,2188af
APD,Air Products & Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",40.6022939,-75.4714098,009a49
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",42.373615799999996,-71.10973349999999,0099cc
ALK,Alaska Air Group,Industrials,Airlines,"Seattle, Washington",47.6062095,-122.33207079999998,0097c8
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",35.2270869,-80.8431267,1c2b26
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",34.1477849,-118.1445155,51586a
ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,"Boston, Massachusetts",42.360082500000004,-71.0588801,091794
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",37.338208200000004,-121.88632859999998,c5d4e9
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",53.34980529999999,-6.2603097000000005,4ea475
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",43.07305170000001,-89.4012302,f6e212
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",42.116456299999996,-87.8293718,0c78b9
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",37.3860517,-122.08385109999999,ef1715
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",37.3860517,-122.08385109999999,194f97
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",37.540724600000004,-77.4360481,e1806f
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",47.6062095,-122.33207079999998,8f8d8c
