,symbol,update_date,querter_sales,profit,operating,real_profit,sales,shared,next_update_date
0,MMM,210331.0,8851.0,4327.0,1983.0,1624.0,32960000000.0,579675002.0,211025.0
1,MMM,201231.0,8583.0,4246.0,1839.0,1389.0,32960000000.0,579675002.0,211025.0
2,MMM,200930.0,8350.0,4047.0,1909.0,1413.0,32960000000.0,579675002.0,211025.0
3,MMM,200630.0,7176.0,3426.0,1740.0,1290.0,32960000000.0,579675002.0,211025.0
4,ABT,210331.0,10456.0,6056.0,2109.0,1793.0,37340000000.0,1776820148.0,211019.0
5,ABT,201231.0,10701.0,6237.0,2437.0,2162.0,37340000000.0,1776820148.0,211019.0
6,ABT,200930.0,8853.0,4890.0,1545.0,1232.0,37340000000.0,1776820148.0,211019.0
7,ABT,200630.0,7328.0,4065.0,682.0,537.0,37340000000.0,1776820148.0,211019.0
8,ABBV,210331.0,13010.0,8818.0,4103.0,3553.0,50200000000.0,1766222336.0,211028.0
9,ABBV,201231.0,13858.0,9174.0,3753.0,36.0,50200000000.0,1766222336.0,211028.0
10,ABBV,200930.0,12902.0,7852.0,3255.0,2308.0,50200000000.0,1766222336.0,211028.0
11,ABBV,200630.0,10425.0,6714.0,752.0,-738.0,50200000000.0,1766222336.0,211028.0
12,ABMD,210331.0,241.25,195.17,62.8,56.86,847520000.0,45344956.0,211103.0
13,ABMD,201231.0,231.66,190.55,71.35,61.87,847520000.0,45344956.0,211103.0
14,ABMD,200930.0,209.76,171.03,61.34,62.21,847520000.0,45344956.0,211103.0
15,ABMD,200630.0,164.85,128.87,34.07,44.59,847520000.0,45344956.0,211103.0
16,ACN,210531.0,13263.8,4404.38,2118.66,1549.43,47950000000.0,666947366.0,210922.0
17,ACN,210228.0,12088.12,3595.23,1653.52,1440.86,47950000000.0,666947366.0,210922.0
18,ACN,201130.0,11762.18,3898.3,1890.67,1500.28,47950000000.0,666947366.0,210922.0
19,ACN,200831.0,10835.27,3440.54,1544.7,1287.93,47950000000.0,666947366.0,210922.0
20,ATVI,210331.0,2275.0,1697.0,795.0,619.0,8570000000.0,777016759.0,211103.0
21,ATVI,201231.0,2412.0,1595.0,595.0,509.0,8570000000.0,777016759.0,211103.0
22,ATVI,200930.0,1954.0,1485.0,747.0,604.0,8570000000.0,777016759.0,211103.0
23,ATVI,200630.0,1932.0,1463.0,749.0,580.0,8570000000.0,777016759.0,211103.0
24,ADBE,210604.0,3835.0,3391.0,1406.0,1116.0,14390000000.0,476400000.0,210920.0
25,ADBE,210305.0,3905.0,3458.0,1454.0,1261.0,14390000000.0,476400000.0,210920.0
26,ADBE,201127.0,3424.0,2996.0,1215.0,2250.0,14390000000.0,476400000.0,210920.0
27,ADBE,200828.0,3225.0,2798.0,1069.0,955.0,14390000000.0,476400000.0,210920.0
28,AMD,210327.0,3445.0,1587.0,648.0,555.0,11420000000.0,1215020976.0,211026.0
