symbol,update_date,sales,profit,operating,real_profit
MMM,210331.0,8851.0,4327.0,1983.0,1624.0
MMM,201231.0,8583.0,4246.0,1839.0,1389.0
MMM,200930.0,8350.0,4047.0,1909.0,1413.0
MMM,,,,,
ABT,210331.0,10456.0,6056.0,2109.0,1793.0
ABT,201231.0,10701.0,6237.0,2437.0,2162.0
ABT,200930.0,8853.0,4890.0,1545.0,1232.0
ABT,200630.0,7328.0,4065.0,682.0,537.0
ABBV,210331.0,13010.0,8818.0,4103.0,3553.0
ABBV,201231.0,13858.0,9174.0,3753.0,36.0
ABBV,200930.0,12902.0,7852.0,3255.0,2308.0
ABBV,200630.0,10425.0,6714.0,752.0,-738.0
ABMD,210331.0,241.25,195.17,62.8,56.86
ABMD,201231.0,231.66,190.55,71.35,61.87
ABMD,200930.0,209.76,171.03,61.34,62.21
ABMD,200630.0,164.85,128.87,34.07,44.59
ACN,210228.0,12088.12,3595.23,1653.52,1440.86
ACN,201130.0,11762.18,3898.3,1890.67,1500.28
ACN,200831.0,10835.27,3440.54,1544.7,1287.93
ACN,200531.0,10991.31,3528.69,1712.73,1228.2
ATVI,210331.0,2275.0,1697.0,795.0,619.0
ATVI,201231.0,2412.0,1595.0,595.0,509.0
ATVI,200930.0,1954.0,1485.0,747.0,604.0
ATVI,200630.0,1932.0,1463.0,749.0,580.0
ADBE,210604.0,3835.0,3391.0,1406.0,1116.0
ADBE,210305.0,3905.0,3458.0,1454.0,1261.0
ADBE,201127.0,3424.0,2996.0,1215.0,2250.0
ADBE,200828.0,3225.0,2798.0,1069.0,955.0
AMD,210327.0,3445.0,1587.0,648.0,555.0
AMD,201226.0,3244.0,1451.0,554.0,1781.0
AMD,200926.0,2801.0,1230.0,411.0,390.0
AMD,200627.0,1932.0,848.0,173.0,157.0
AAP,210424.0,3330.37,1487.23,252.13,185.93
AAP,210102.0,2365.13,1085.23,151.83,112.0
AAP,201003.0,2541.93,1128.55,208.79,147.48
AAP,200711.0,2501.38,1097.01,262.85,189.96
AES,210331.0,2635.0,664.0,166.0,-148.0
AES,201231.0,2560.0,906.0,771.0,318.0
AES,200930.0,2545.0,756.0,-292.0,-333.0
AES,200630.0,2217.0,524.0,423.0,-83.0
AFL,210331.0,5869.0,,1665.0,1293.0
AFL,201231.0,5913.0,,1278.0,952.0
AFL,200930.0,5665.0,,1216.0,2456.0
AFL,200630.0,5407.0,,1133.0,805.0
A,210430.0,1525.0,817.0,288.0,216.0
A,210131.0,1548.0,838.0,328.0,288.0
A,201031.0,1483.0,788.0,299.0,222.0
A,200731.0,1261.0,669.0,230.0,199.0
APD,210331.0,2502.0,756.5,548.5,473.1
APD,201231.0,2375.2,742.8,539.1,482.0
APD,200930.0,2320.1,753.6,560.2,486.8
APD,200630.0,2065.2,720.3,539.2,446.5
AKAM,210331.0,842.71,536.02,182.36,155.69
AKAM,201231.0,846.29,542.44,134.62,113.37
AKAM,200930.0,792.85,509.41,181.16,158.62
AKAM,200630.0,794.72,517.91,190.43,161.91
ALK,210331.0,797.0,218.0,-161.0,-131.0
ALK,201231.0,808.0,313.0,-621.0,-447.0
ALK,200930.0,701.0,230.0,-571.0,-431.0
ALK,200630.0,421.0,97.0,-288.0,-214.0
ALB,210331.0,829.29,263.69,124.16,95.68
ALB,201231.0,879.15,265.42,125.14,84.64
ALB,200930.0,746.87,254.06,144.23,98.3
ALB,200630.0,764.05,233.36,112.3,85.62
ARE,210331.0,479.85,341.96,54.67,8.12
ARE,201231.0,463.72,326.95,83.44,441.48
ARE,200930.0,545.04,404.6,130.41,81.06
ARE,200630.0,436.96,313.05,100.03,229.65
ALXN,210331.0,1636.5,1511.1,636.2,636.0
ALXN,201231.0,1591.8,1439.6,622.1,535.8
ALXN,200930.0,1588.7,1444.0,684.9,578.1
ALXN,200630.0,1444.6,1299.7,-1370.2,-1068.1
ALGN,210331.0,894.77,677.1,225.45,200.38
ALGN,201231.0,834.52,610.46,213.18,158.99
ALGN,200930.0,734.14,534.09,177.07,139.37
ALGN,200630.0,352.31,224.33,-73.0,-40.6
ALLE,210331.0,694.3,297.4,131.3,108.0
ALLE,201231.0,727.3,320.7,117.7,93.3
