symbol,query,update_date
MMM,3m-co,210727
ABT,abbott-laboratories,210721
ABBV,abbvie-inc,210723
ABMD,abiomed,210729
ACN,accenture-ltd,210624
ATVI,activision-inc,210805
ADBE,adobe-sys-inc,210921
AMD,adv-micro-device,210728
AAP,advance-auto-parts,210817
AES,aes-corp,210810
AFL,aflac-inc,210728
A,agilent-tech,210818
APD,air-prods---chem,210729
AKAM,akamai-technologies-inc,210803
ALK,alaska-air,210729
ALB,albemarle,210811
ARE,alexandria-real-estate-equities,210726
ALXN,"alexion-pharmaceuticals,-inc.",210729
ALGN,align-technology,210728
ALLE,allegion-public,210729
LNT,alliant-energy,210805
ALL,allstate-corporation,210805
GOOGL,google-inc,210729
GOOG,google-inc-c,210729
MO,altria-group,210729
AMZN,amazon-com-inc,210729
AMCR,amcor-plc,210824
AEE,ameren-corp,210806
AAL,american-airlines-group,210729
AEP,american-electric,210729
AXP,american-express,210721
AIG,american-intl-group,210804
AMT,amer-tower-corp,210804
AWK,american-water-works-inc,210804
AMP,ameriprise-fincl,210727
ABC,amerisourcebergn,210805
AME,ametek-inc,210803
AMGN,amgen-inc,210728
APH,amphenol-corp,210728
ADI,analog-devices,210825
ANSS,ansys,210809
ANTM,wellpoint-inc,210721
AON,aon-corp,210730
AOS,a.o-smith-corp,210728
APA,apache-corp,210804
AAPL,apple-computer-inc,210803
AMAT,applied-matls-inc,210819
APTV,delphi-automotive,210804
ADM,archer-daniels-mid,210803
ANET,arista-networks,210805
AJG,arthur-j.-gallagher---co,210729
AIZ,assurant,210810
T,at-t,210722
ATO,atmos-energy-corp,210811
ADSK,autodesk-inc,210831
ADP,auto-data-process,210804
AZO,autozone-inc,210928
AVB,avalonbay-comm,210804
AVY,avery-dennison,210727
BKR,baker-hughes,210729
BLL,ball-corp,210805
BAC,bank-of-america,210714
BK,bk-of-ny,210715
BAX,baxter-intl,210729
BDX,becton-dickinsn,210812
BRKB,berkshire-hathaway,210730
BBY,best-buy,210831
BIO,bio-rad-laboratories-inc,210805
BIIB,biogen-idec-inc,210727
BLK,"blackrock,-inc.-c",210719
BA,boeing-co,210728
BKNG,priceline.com-inc,210812
BWA,borgwarner,210729
BXP,boston-ppty,210803
BSX,boston-scien-cp,210729
BMY,bristol-myer-squiib,210728
AVGO,avago-technologies,210909
BR,broadridge-financial-solutions,210810
BFB,brown-forman-b,210832
CHRW,c-h-robinson-worldwide-inc,210803
COG,cabot-oil---gas,210723
CDNS,cadence-design-system-inc,210726
CZR,caesars-entertainment-corp,210812
CPB,campbell-soup,210902
COF,capital-one,210722
CAH,cardinal-health,210804
